SM엔터테인먼트,,,,NNP,*,F,SM엔터테인먼트,*,*,*,*
H.O.T,,,,NNP,*,F,H.O.T,*,*,*,*
NCT 127,,,,NNP,*,F,NCT 127,*,*,*,*
NCT U,,,,NNP,*,F,NCT U,*,*,*,*
NCT DREAM,,,,NNP,*,F,NCT DREAM,*,*,*,*
보아,,,,NNP,인명,F,보아,*,*,*,*
스브스,,,,NNP,*,F,스브스,*,*,*,*
G-DRAGON,,,,NNP,*,F,스브스,*,*,*,*
에이티즈,,,,NNP,*,F,스브스,*,*,*,*
